hostname,disposition,sy_snum
EPIC 210777017,CANDIDATE,1
EPIC 210789323,FALSE POSITIVE,1
EPIC 210801536,CANDIDATE,1
EPIC 210813978,CANDIDATE,1
EPIC 210827030,FALSE POSITIVE,1
EPIC 210843708,CANDIDATE,1
EPIC 210852232,CANDIDATE,1
EPIC 210877025,CANDIDATE,1
EPIC 210903662,CANDIDATE,1
EPIC 210925707,CANDIDATE,1
EPIC 210933299,CANDIDATE,1
EPIC 210935498,CANDIDATE,1
EPIC 210945680,CANDIDATE,1
EPIC 210954046,FALSE POSITIVE,1
EPIC 210956385,CANDIDATE,1
EPIC 210958990,CANDIDATE,1
EPIC 210961508,CANDIDATE,1
K2-178,CANDIDATE,1
EPIC 210967369,CANDIDATE,1
EPIC 211002562,CANDIDATE,1
EPIC 211009047,CANDIDATE,1
EPIC 211058748,CANDIDATE,1
EPIC 211064647,CANDIDATE,1
HIP 17704,FALSE POSITIVE,1
EPIC 211087003,CANDIDATE,1
EPIC 211093684,FALSE POSITIVE,1
EPIC 211106187,CANDIDATE,1
EPIC 211107835,CANDIDATE,1
EPIC 211133138,CANDIDATE,1
EPIC 211147528,CANDIDATE,1
EPIC 211158357,CANDIDATE,1
EPIC 211169300,CANDIDATE,1
EPIC 211201576,CANDIDATE,1
EPIC 211305568,CANDIDATE,1
EPIC 211308899,CANDIDATE,1
EPIC 211309648,CANDIDATE,1
EPIC 211315836,CANDIDATE,1
EPIC 211319779,CANDIDATE,1
EPIC 211321953,CANDIDATE,1
EPIC 211327855,CANDIDATE,1
EPIC 211328748,CANDIDATE,1
EPIC 211333233,CANDIDATE,1
EPIC 211335816,CANDIDATE,1
EPIC 211336288,CANDIDATE,1
EPIC 211336616,CANDIDATE,1
EPIC 211342524,CANDIDATE,1
EPIC 211357309,CANDIDATE,1
EPIC 211365543,CANDIDATE,1
EPIC 211372788,CANDIDATE,1
EPIC 211375488,CANDIDATE,1
EPIC 211383821,CANDIDATE,1
EPIC 211390903,CANDIDATE,1
EPIC 211393988,CANDIDATE,1
EPIC 211396431,CANDIDATE,1
EPIC 211397774,FALSE POSITIVE,1
EPIC 211397844,CANDIDATE,1
EPIC 211402878,FALSE POSITIVE,1
EPIC 211407755,CANDIDATE,1
EPIC 211408138,FALSE POSITIVE,1
EPIC 211408558,CANDIDATE,1
EPIC 211409299,FALSE POSITIVE,1
EPIC 211411891,FALSE POSITIVE,1
EPIC 211413463,CANDIDATE,1
EPIC 211418290,CANDIDATE,1
EPIC 211419451,CANDIDATE,1
EPIC 211422822,FALSE POSITIVE,1
EPIC 211424769,CANDIDATE,1
EPIC 211425822,FALSE POSITIVE,1
EPIC 211428897,CANDIDATE,1
EPIC 211429934,FALSE POSITIVE,1
EPIC 211430148,FALSE POSITIVE,1
EPIC 211431013,FALSE POSITIVE,1
EPIC 211432103,CANDIDATE,1
EPIC 211432167,FALSE POSITIVE,1
EPIC 211432176,FALSE POSITIVE,1
EPIC 211432922,CANDIDATE,1
EPIC 211432946,FALSE POSITIVE,1
EPIC 211436313,CANDIDATE,1
EPIC 211436876,CANDIDATE,1
EPIC 211438731,CANDIDATE,1
EPIC 211439059,CANDIDATE,1
EPIC 211442571,CANDIDATE,1
EPIC 211449931,FALSE POSITIVE,1
EPIC 211451776,CANDIDATE,1
EPIC 211452175,FALSE POSITIVE,1
EPIC 211453076,FALSE POSITIVE,1
EPIC 211453223,FALSE POSITIVE,1
EPIC 211468153,FALSE POSITIVE,1
EPIC 211469889,CANDIDATE,1
EPIC 211471048,FALSE POSITIVE,1
EPIC 211477347,FALSE POSITIVE,1
EPIC 211480861,CANDIDATE,1
EPIC 211490299,FALSE POSITIVE,1
EPIC 211492384,CANDIDATE,1
EPIC 211492449,CANDIDATE,1
EPIC 211492541,FALSE POSITIVE,1
EPIC 211493669,FALSE POSITIVE,1
EPIC 211503824,CANDIDATE,1
EPIC 211505089,CANDIDATE,1
EPIC 211506851,CANDIDATE,1
EPIC 211509553,CANDIDATE,1
EPIC 211509665,FALSE POSITIVE,1
EPIC 211510580,CANDIDATE,1
